epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,19.4293,1.82832,4.93495,2.51311,2.16923,0,0,0,0,0,0,0,0,nan,nan,nan,nan,0.0815429,0.000971429,0.000971429
2,39.5183,1.94948,4.633,2.36916,2.29393,0,0,0,0,0,0,0,0,nan,nan,nan,nan,0.0625424,0.00197094,0.00197094
3,59.9196,1.86366,4.35016,2.15846,2.19879,0,0,0,0,0,0,0,0,nan,nan,nan,nan,0.0435399,0.0029685,0.0029685
4,82.0419,1.84151,4.32106,2.11728,2.1725,0,0,0,0,0,0,0,0,nan,nan,nan,nan,0.0245341,0.00396262,0.00396262
5,104.036,1.80954,4.38677,1.97757,2.12556,0,0,0,0,0,0,0,0,nan,nan,nan,nan,0.00552328,0.00495185,0.00495185
6,127.301,1.79735,4.32513,2.00384,2.11973,0.41384,0.03415,0.01659,0.00555,0.00399,0.04805,0.0021,0.00052,4.02379,8.63113,8.7579,5.46892,0.00496925,0.00496925,0.00496925
7,149.006,1.77665,4.23374,1.97922,2.07989,0.00839,0.01502,0.00166,0.00037,0.00974,0.01502,0.0019,0.00031,4.18514,4.89487,23.5996,5.57461,0.00495576,0.00495576,0.00495576
8,168.161,1.72674,4.23023,1.93817,2.04126,0.28123,0.18458,0.13815,0.0367,0.14494,0.13219,0.0634,0.01279,2.99135,76.041,5.0205,3.70955,0.00493985,0.00493985,0.00493985
9,186.324,1.72455,4.20657,1.91253,2.03169,0.36121,0.29214,0.3062,0.14183,0.24712,0.23439,0.17162,0.07687,1.95017,6.46061,5.48749,2.37413,0.00492154,0.00492154,0.00492154
10,203.64,1.69119,4.15001,1.81349,2.00317,0.24106,0.28045,0.1866,0.06281,0.11399,0.11699,0.05808,0.01356,2.59634,7.21436,5.15879,3.27354,0.00490083,0.00490083,0.00490083
11,221.103,1.68405,4.12088,1.84074,1.99971,0.4864,0.40869,0.40038,0.1748,0.43629,0.31249,0.29113,0.09597,2.04638,9.52163,3.60224,2.55089,0.00487776,0.00487776,0.00487776
12,238.571,1.58849,4.02125,1.73347,1.93179,0.51288,0.63578,0.59222,0.30136,0.59084,0.51361,0.49691,0.21888,1.72672,3.57327,2.17854,2.16326,0.00485235,0.00485235,0.00485235
13,255.715,1.61084,4.02317,1.7369,1.94298,0.36653,0.36102,0.37988,0.18031,0.3257,0.28972,0.27535,0.10403,1.7585,4.37575,3.86922,2.18969,0.00482462,0.00482462,0.00482462
14,272.731,1.5799,3.97946,1.72736,1.91695,0.27455,0.34799,0.30391,0.13329,0.25369,0.24753,0.17844,0.04559,1.76877,4.64034,3.84077,2.22457,0.00479459,0.00479459,0.00479459
15,288.627,1.57255,3.91604,1.64835,1.90098,0.3632,0.60744,0.46666,0.20705,0.42607,0.43721,0.3909,0.15648,1.66675,3.60588,3.00721,2.04874,0.00476231,0.00476231,0.00476231
16,305.205,1.58725,3.90897,1.67366,1.91743,0.68309,0.6706,0.69879,0.33153,0.60255,0.56113,0.52498,0.22396,1.6249,3.51491,2.15551,2.03853,0.00472779,0.00472779,0.00472779
17,322.295,1.52187,3.84226,1.59278,1.8515,0.60586,0.70465,0.76718,0.39502,0.57378,0.5661,0.60746,0.27975,1.59264,3.31807,2.13983,2.03188,0.00469108,0.00469108,0.00469108
18,338.496,1.53789,3.88879,1.61345,1.8688,0.88913,0.54631,0.72968,0.35346,0.88259,0.52998,0.61907,0.26491,1.70791,3.41051,1.89925,2.12071,0.0046522,0.0046522,0.0046522
19,354.11,1.51824,3.79914,1.58654,1.85077,0.73647,0.65091,0.73577,0.35786,0.60069,0.50118,0.54289,0.2618,1.72108,3.10459,1.72451,2.0779,0.00461121,0.00461121,0.00461121
20,369.008,1.50886,3.82386,1.58569,1.8606,0.77071,0.53188,0.56308,0.27336,0.75521,0.47922,0.48244,0.22643,1.73278,3.40983,2.17976,2.13061,0.00456813,0.00456813,0.00456813
21,384.419,1.52535,3.78795,1.58951,1.85959,0.72126,0.63431,0.68723,0.33575,0.66565,0.57666,0.5797,0.27291,1.6741,2.96505,1.82017,2.03651,0.00452302,0.00452302,0.00452302
22,406.055,1.52064,3.78692,1.52238,1.84585,0.56517,0.71429,0.7024,0.38305,0.51966,0.65881,0.62593,0.271,1.48523,3.29266,2.13593,1.87607,0.00447591,0.00447591,0.00447591
23,423.532,1.48264,3.69107,1.50069,1.8103,0.5933,0.73928,0.72483,0.36191,0.55983,0.61045,0.59733,0.27332,1.62649,3.02796,1.71286,1.99257,0.00442686,0.00442686,0.00442686
24,442.796,1.47738,3.72714,1.5059,1.82244,0.70438,0.72333,0.75544,0.34399,0.56872,0.6024,0.56591,0.20294,1.72334,3.64594,2.039,2.05224,0.0043759,0.0043759,0.0043759
25,458.488,1.4691,3.66173,1.44066,1.81187,0.66164,0.70143,0.76618,0.41082,0.57689,0.62306,0.61896,0.28026,1.57376,3.34338,1.83979,1.99802,0.0043231,0.0043231,0.0043231
26,474.151,1.45957,3.6889,1.42981,1.81118,0.84618,0.6498,0.76959,0.40331,0.77881,0.61281,0.66984,0.32321,1.66112,3.01949,1.50566,2.0567,0.0042685,0.0042685,0.0042685
27,493.213,1.39257,3.58901,1.42933,1.75696,0.72414,0.68869,0.75142,0.38299,0.6836,0.62389,0.63719,0.31037,1.53853,2.96766,1.61119,1.97441,0.00421216,0.00421216,0.00421216
